,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,14234,chg,Male,No,Active,Primary Name,,,Masoud,,Barzani,,Politically Exposed Person (PEP),,,Primary Occupation,Political Party Officials,"President, Kurdistan Democratic Party (KDP)",,,1979,,,,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Citizenship,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,http://penase.files.wordpress.com/2013/04/president-masoud-barzani.jpg?w=500,14300,Nephew,No,,29-Aug-2023,
1,14234,chg,Male,No,Active,Primary Name,OSN,,مسعود برزاني,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,President of Iraqi Kurdistan,14,Jun,2005,01,Nov,2017,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Resident of,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,https://ichef.bbci.co.uk/news/800/cpsprodpb/A50C/production/_97725224_255fd7e5-ef05-4fe6-b29d-a01b731074f4.jpg,14304,Uncle,No,,29-Aug-2023,
2,14234,chg,Male,No,Active,Primary Name,OSN,,مسعود البارزاني,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Members of the National Legislature,"Member, National Assembly, Majlis Al-Watani",19,Aug,2004,01,Jan,2005,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",562962,Father,No,,29-Aug-2023,
3,14234,chg,Male,No,Active,Primary Name,OSN,,مسعود بارزاني,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Members of the National Legislature,"Member, Interim Iraqi Parliament",18,Aug,2004,04,Sep,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",562971,Brother,No,,29-Aug-2023,
4,14234,chg,Male,No,Active,Spelling Variation,OSN,,Masoud,,Al Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"Member, Interim Governing Council",13,Jul,2003,01,Jun,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",678069,Uncle,No,,29-Aug-2023,
5,14234,chg,Male,No,Active,Spelling Variation,OSN,,Masud,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",1042124,Son,No,,29-Aug-2023,
6,14234,chg,Male,No,Active,Spelling Variation,OSN,,Massoud,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",1596152,Nephew,No,,29-Aug-2023,
7,14234,chg,Male,No,Active,Spelling Variation,OSN,,Massoud,,Al-Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",1714343,Son,No,,29-Aug-2023,
8,14234,chg,Male,No,Active,Spelling Variation,OSN,,Massoud,,Al Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",1769041,Brother,No,,29-Aug-2023,
9,14234,chg,Male,No,Active,Spelling Variation,OSN,,Mas'ud,,Barzani,,Politically Exposed Person (PEP),,,Previous Roles,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",3043008,Aunt,No,,29-Aug-2023,
